Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,2.920209,2.945908,2.827307,2.917345,2.917345,2310782
2021-08-23,2.916958,2.987590,2.879356,2.900722,2.900722,2900883
2021-08-24,2.901100,2.919075,2.790241,2.794724,2.794724,2111156
2021-08-25,2.792524,2.874660,2.767872,2.862109,2.862109,4564708
2021-08-26,2.860941,2.880397,2.718830,2.752619,2.752619,3103412
2021-08-27,2.752553,2.829046,2.734362,2.827830,2.827830,2511986
2021-08-28,2.828441,2.853306,2.789253,2.803334,2.803334,2727951
2021-08-29,2.807976,2.843944,2.775805,2.811103,2.811103,3244039
2021-08-30,2.810795,2.831342,2.742607,2.758198,2.758198,4022431
2021-08-31,2.759825,2.802839,2.705297,2.731481,2.731481,4486883
2021-09-01,2.727157,2.858484,2.704211,2.848735,2.848735,3837325
2021-09-02,2.846523,2.915924,2.834199,2.844955,2.844955,3842494
2021-09-03,2.845730,2.965727,2.807273,2.900508,2.900508,3969377
2021-09-04,2.900345,2.946074,2.868166,2.908684,2.908684,3163484
2021-09-05,2.909576,2.963201,2.880161,2.961700,2.961700,3186150
2021-09-06,2.956913,3.007331,2.917854,2.993876,2.993876,4899539
2021-09-07,2.991420,3.012506,2.636405,2.678595,2.678595,7260655
2021-09-08,2.675249,2.707278,2.564214,2.676106,2.676106,4936117
2021-09-09,2.671573,2.778859,2.633681,2.655987,2.655987,3277031
2021-09-10,2.656124,2.720778,2.519638,2.558296,2.558296,4676725
2021-09-11,2.553002,2.628711,2.544081,2.557155,2.557155,3169665
2021-09-12,2.557191,2.603934,2.504897,2.543723,2.543723,4099093
2021-09-13,2.544222,2.571639,2.441143,2.441143,2.441143,6295316
2021-09-14,2.440065,2.616275,2.437174,2.570503,2.570503,4817601
2021-09-15,2.570611,2.665502,2.521666,2.598979,2.598979,5219004
2021-09-16,2.608906,2.681956,2.554724,2.592107,2.592107,6392784
2021-09-17,2.590895,2.637989,2.557601,2.591295,2.591295,4509326
2021-09-18,2.592411,2.670137,2.562067,2.602704,2.602704,5197135
2021-09-19,2.603874,2.640159,2.492781,2.524103,2.524103,4345597
2021-09-20,2.528223,2.528223,2.318788,2.351527,2.351527,7466933
2021-09-21,2.350290,2.398367,2.250510,2.265101,2.265101,4696245
2021-09-22,2.269390,2.414762,2.249186,2.368709,2.368709,4848715
2021-09-23,2.369824,2.459947,2.356489,2.427341,2.427341,4661641
2021-09-24,2.425767,2.440572,2.212331,2.273483,2.273483,7210835
2021-09-25,2.274729,2.319837,2.221132,2.294058,2.294058,3330255
2021-09-26,2.293990,2.324792,2.197451,2.286509,2.286509,4595919
2021-09-27,2.285094,2.357341,2.240042,2.242149,2.242149,3831196
2021-09-28,2.242672,2.261141,2.174041,2.174041,2.174041,4468650
2021-09-29,2.179852,2.253491,2.159214,2.181884,2.181884,3508500
2021-09-30,2.182692,2.292519,2.177910,2.270998,2.270998,6540744
2021-10-01,2.266880,2.465640,2.241421,2.441928,2.441928,5932303
2021-10-02,2.443597,2.447744,2.394960,2.409683,2.409683,4698166
2021-10-03,2.409011,2.461230,2.391484,2.416229,2.416229,4312791
2021-10-04,2.416392,2.439740,2.355977,2.411862,2.411862,6822060
2021-10-05,2.411842,2.479381,2.402006,2.465937,2.465937,6850003
2021-10-06,2.466967,2.555627,2.411865,2.507179,2.507179,9841357
2021-10-07,2.506188,2.512495,2.437000,2.439283,2.439283,7786836
2021-10-08,2.438365,2.529876,2.424039,2.432727,2.432727,5529004
2021-10-09,2.434689,2.487299,2.427218,2.472754,2.472754,2895735
2021-10-10,2.472708,2.507944,2.436609,2.445092,2.445092,5310199
