Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,0.687597,0.699909,0.609544,0.661759,0.661759,75724
2021-08-23,0.661734,0.724193,0.634487,0.701343,0.701343,120979
2021-08-24,0.701350,0.800278,0.662971,0.792269,0.792269,131472
2021-08-25,0.792300,0.909373,0.735396,0.790800,0.790800,146479
2021-08-26,0.790791,0.917377,0.790772,0.895540,0.895540,121183
2021-08-27,0.895530,0.918115,0.812898,0.894627,0.894627,133978
2021-08-28,0.894664,0.921655,0.843388,0.910926,0.910926,112864
2021-08-29,0.910941,0.947946,0.826854,0.862408,0.862408,123999
2021-08-30,0.862406,0.888257,0.730053,0.832104,0.832104,118748
2021-08-31,0.832051,0.911790,0.755196,0.808157,0.808157,107491
2021-09-01,0.808218,0.808492,0.694851,0.800728,0.800728,99519
2021-09-02,0.800704,0.800849,0.725518,0.761460,0.761460,130875
2021-09-03,0.761508,0.793267,0.726606,0.769886,0.769886,101582
2021-09-04,0.769843,0.790543,0.714762,0.753427,0.753427,121269
2021-09-05,0.753466,0.795502,0.709937,0.735497,0.735497,125040
2021-09-06,0.735492,0.785448,0.721255,0.751700,0.751700,103418
2021-09-07,0.751669,0.790950,0.483480,0.661696,0.661696,204142
2021-09-08,0.661746,0.695977,0.562787,0.637136,0.637136,104314
2021-09-09,0.618162,0.671403,0.473142,0.652044,0.652044,119681
2021-09-10,0.652074,0.729932,0.599366,0.656356,0.656356,136128
2021-09-11,0.656374,0.701923,0.629627,0.660931,0.660931,109517
2021-09-12,0.660949,0.687285,0.557823,0.663516,0.663516,112739
2021-09-13,0.663432,0.694755,0.602372,0.650703,0.650703,137795
2021-09-14,0.650749,0.674898,0.528282,0.649538,0.649538,144428
2021-09-15,0.649514,0.683759,0.588778,0.637779,0.637779,123684
2021-09-16,0.637746,0.713078,0.573871,0.652829,0.652829,113775
2021-09-17,0.652821,0.684528,0.571753,0.647801,0.647801,101103
2021-09-18,0.647799,0.695549,0.548213,0.653424,0.653424,112756
2021-09-19,0.653447,0.682212,0.590506,0.633622,0.633622,115399
2021-09-20,0.633540,0.651728,0.472224,0.574403,0.574403,190010
2021-09-21,0.574414,0.636154,0.473023,0.555245,0.555245,117076
2021-09-22,0.555296,0.633855,0.494557,0.584804,0.584804,100158
2021-09-23,0.584794,0.642954,0.476260,0.563958,0.563958,102676
2021-09-24,0.563949,0.651469,0.477466,0.585879,0.585879,102403
2021-09-25,0.585856,0.654068,0.512538,0.612520,0.612520,117821
2021-09-26,0.612561,0.672744,0.505480,0.556149,0.556149,109122
2021-09-27,0.556125,0.640246,0.478672,0.566520,0.566520,111537
2021-09-28,0.566521,0.589726,0.481527,0.540509,0.540509,105665
2021-09-29,0.540559,0.613603,0.501377,0.580739,0.580739,106800
2021-09-30,0.580751,0.604545,0.472876,0.542186,0.542186,110937
2021-10-01,0.542167,0.612403,0.504533,0.576435,0.576435,107410
2021-10-02,0.576421,0.582715,0.483035,0.539373,0.539373,110422
2021-10-03,0.539438,0.589000,0.468325,0.533748,0.533748,127381
2021-10-04,0.533735,0.583797,0.471208,0.528508,0.528508,115275
2021-10-05,0.528507,0.596454,0.474363,0.499806,0.499806,110534
2021-10-06,0.499830,0.599861,0.479294,0.482158,0.482158,104471
2021-10-07,0.482179,0.596881,0.474626,0.474975,0.474975,108571
2021-10-08,0.474928,0.802071,0.474920,0.762499,0.762499,173052
2021-10-09,0.762479,0.801816,0.597345,0.705333,0.705333,111823
2021-10-10,0.705357,0.782824,0.599628,0.746640,0.746640,132610
2021-10-11,0.746623,0.795674,0.640563,0.745370,0.745370,106202
2021-10-12,0.745381,0.798540,0.616765,0.714906,0.714906,108733
2021-10-13,0.714848,0.720914,0.575649,0.667958,0.667958,105454
2021-10-14,0.667973,0.708316,0.581137,0.642065,0.642065,97507
2021-10-15,0.642071,0.863004,0.548264,0.708860,0.708860,131659
2021-10-16,0.708863,0.790892,0.614235,0.725884,0.725884,107827
2021-10-17,0.725861,0.777821,0.633203,0.709826,0.709826,119280
2021-10-18,0.709820,0.785532,0.648221,0.742894,0.742894,104301
2021-10-19,0.742851,0.822864,0.642762,0.730940,0.730940,99506
2021-10-20,0.730886,0.806085,0.600784,0.742141,0.742141,126700
2021-10-21,0.742179,0.783093,0.650122,0.741643,0.741643,139581
2021-10-22,0.741657,0.801242,0.611705,0.697925,0.697925,150600
2021-10-23,0.697892,0.771089,0.649316,0.753301,0.753301,106583
2021-10-24,0.753288,0.777074,0.621007,0.702267,0.702267,116957
2021-10-25,0.702231,0.789544,0.561534,0.649662,0.649662,113045
2021-10-26,0.649624,0.701404,0.267893,0.370966,0.370966,128138
2021-10-27,0.370989,0.559181,0.330911,0.425813,0.425813,28056
2021-10-28,0.425815,0.485792,0.425579,0.483608,0.483608,1176664
2021-10-29,0.483602,0.635598,0.469672,0.615480,0.615480,1253245
2021-10-30,0.615413,0.711568,0.574948,0.700856,0.700856,1190418
2021-10-31,0.700765,0.739895,0.681514,0.733810,0.733810,1101460
2021-11-01,0.733781,0.803242,0.733420,0.791757,0.791757,1503611
2021-11-02,0.791767,0.912527,0.786744,0.855830,0.855830,2136313
2021-11-03,0.855822,0.934543,0.848260,0.905811,0.905811,2301311
2021-11-04,0.905776,0.906661,0.802959,0.856317,0.856317,2237358
2021-11-05,0.856438,0.937467,0.850330,0.907815,0.907815,2132979
2021-11-06,0.907768,0.950505,0.857023,0.940774,0.940774,1953561
2021-11-07,0.940609,1.011089,0.923528,1.003487,1.003487,1814598
2021-11-08,1.003393,1.166515,0.995328,1.160285,1.160285,1721510
2021-11-09,1.160277,1.204424,1.134304,1.188887,1.188887,2156848
2021-11-10,1.188783,1.277090,1.180785,1.256393,1.256393,2172090
2021-11-11,1.257060,1.259954,1.205663,1.238601,1.238601,1945024
2021-11-12,1.240230,1.268636,1.212388,1.232130,1.232130,2461773
2021-11-13,1.229876,1.421837,1.209026,1.329063,1.329063,2588838
2021-11-14,1.329277,1.411132,1.287527,1.364505,1.364505,2470069
2021-11-15,1.364304,1.416265,1.307491,1.388146,1.388146,2358059
2021-11-16,1.388288,1.401860,0.899321,1.265071,1.265071,1811104
2021-11-17,1.265072,1.324392,1.105747,1.131259,1.131259,941043
2021-11-18,1.131743,1.140902,1.026966,1.063804,1.063804,957540
2021-11-19,1.063652,1.092496,1.042433,1.049107,1.049107,1569354
2021-11-20,1.049006,1.074839,1.007549,1.049036,1.049036,1824897
2021-11-21,1.047843,1.111302,1.040887,1.061274,1.061274,1805636
2021-11-22,1.061668,1.107778,1.043939,1.090416,1.090416,1734782
2021-11-23,1.090526,1.103449,1.060561,1.070403,1.070403,1114337
2021-11-24,1.070403,1.089952,1.061505,1.070344,1.070344,338186
2021-11-25,1.084344,1.311940,1.084344,1.248615,1.248615,815652
2021-11-26,1.195985,1.286167,1.136727,1.185609,1.185609,3110245
2021-11-27,1.185504,1.191754,1.057944,1.189985,1.189985,1134857
2021-11-28,1.189878,1.235251,1.141195,1.235013,1.235013,1667142
2021-11-29,1.234976,1.302516,1.201455,1.288272,1.288272,2424100
