Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,1.341854,1.348934,1.213240,1.271952,1.271952,55021
2021-08-23,1.271172,1.565520,1.263806,1.468938,1.468938,101375
2021-08-24,1.468698,1.476652,1.355058,1.400907,1.400907,76993
2021-08-25,1.398938,1.505074,1.369798,1.443040,1.443040,39304
2021-08-26,1.443069,1.489699,1.330079,1.368341,1.368341,42150
2021-08-27,1.367563,1.417954,1.193875,1.367284,1.367284,61205
2021-08-28,1.369350,1.408273,1.125622,1.276290,1.276290,49507
2021-08-29,1.275209,1.335304,1.190854,1.275968,1.275968,59455
2021-08-30,1.276837,1.425996,1.233449,1.346980,1.346980,60532
2021-08-31,1.348590,1.397307,1.318211,1.347402,1.347402,50534
2021-09-01,1.347189,1.443085,1.339330,1.432582,1.432582,37532
2021-09-02,1.438899,1.463774,1.350169,1.380012,1.380012,40152
2021-09-03,1.379238,1.403585,1.325163,1.385177,1.385177,73129
2021-09-04,1.384873,1.429033,1.343648,1.360484,1.360484,46578
2021-09-05,1.360648,1.397668,1.321239,1.348509,1.348509,54234
2021-09-06,1.349868,2.032872,1.339011,1.497458,1.497458,219875
2021-09-07,1.497448,1.641082,1.193706,1.329222,1.329222,68008
2021-09-08,1.328297,1.395830,1.247090,1.392879,1.392879,43081
2021-09-09,1.360826,1.488953,1.318991,1.407752,1.407752,46040
2021-09-10,1.407684,1.520372,1.310974,1.323186,1.323186,83470
2021-09-11,1.324977,2.517725,1.292370,1.371857,1.371857,293594
2021-09-12,1.372333,1.524895,1.271287,1.423762,1.423762,40576
2021-09-13,1.422309,1.427708,1.294429,1.298753,1.298753,37074
2021-09-14,1.298189,1.362611,1.288909,1.324211,1.324211,39072
2021-09-15,1.324000,1.414685,1.316962,1.367760,1.367760,58654
2021-09-16,1.369016,1.407869,1.290078,1.325335,1.325335,55414
2021-09-17,1.325719,1.503438,1.266978,1.418506,1.418506,68783
2021-09-18,1.419780,1.523536,1.287414,1.410693,1.410693,63307
2021-09-19,1.411335,1.511246,1.366881,1.420954,1.420954,53904
2021-09-20,1.420141,1.439592,1.169805,1.265294,1.265294,45797
2021-09-21,1.263677,1.408285,1.196411,1.324258,1.324258,75412
2021-09-22,1.328452,1.789155,1.307967,1.576734,1.576734,96009
2021-09-23,1.576785,1.656307,1.480399,1.574631,1.574631,107599
2021-09-24,1.574857,1.678551,1.434323,1.445580,1.445580,91526
2021-09-25,1.447447,1.520634,1.386913,1.436294,1.436294,33265
2021-09-26,1.435739,1.454581,1.350467,1.422120,1.422120,17699
2021-09-27,1.421579,1.465710,1.338011,1.338011,1.338011,22961
2021-09-28,1.339170,1.473028,1.336181,1.353928,1.353928,48915
2021-09-29,1.355984,1.513093,1.347450,1.437784,1.437784,30603
2021-09-30,1.437907,1.568707,1.431826,1.564253,1.564253,30295
2021-10-01,1.565027,1.660743,1.527001,1.632595,1.632595,44093
2021-10-02,1.631950,1.686608,1.446350,1.514648,1.514648,70887
2021-10-03,1.513198,1.621152,1.451417,1.501235,1.501235,38772
2021-10-04,1.501763,1.646292,1.408212,1.542102,1.542102,100999
2021-10-05,1.541280,1.720973,1.502036,1.636081,1.636081,75447
2021-10-06,1.636596,1.704368,1.507876,1.561938,1.561938,40977
2021-10-07,1.560749,1.573077,1.443061,1.474714,1.474714,69709
2021-10-08,1.473986,1.543121,1.442202,1.446984,1.446984,40867
2021-10-09,1.447727,1.470982,1.433552,1.438127,1.438127,31866
2021-10-10,1.438766,1.557817,1.411509,1.515860,1.515860,23822
2021-10-11,1.515370,1.597329,1.465792,1.488527,1.488527,36564
2021-10-12,1.488379,1.567359,1.367483,1.502930,1.502930,69761
2021-10-13,1.503188,1.614624,1.285919,1.414318,1.414318,117081
2021-10-14,1.414440,1.482912,1.391807,1.432371,1.432371,57546
2021-10-15,1.431718,1.462121,1.365200,1.432257,1.432257,39365
2021-10-16,1.432657,1.465668,1.385709,1.400836,1.400836,27709
2021-10-17,1.400034,1.449521,1.343598,1.386410,1.386410,58592
2021-10-18,1.387066,1.463144,1.343910,1.423227,1.423227,60546
2021-10-19,1.423460,1.690052,1.408889,1.618076,1.618076,75285
2021-10-20,1.617122,1.758827,1.563847,1.653661,1.653661,126772
